Sl No,State,Ph.D.,Ph.D.,Ph.D.,M.Phil.,M.Phil.,M.Phil.,Post Graduate,Post Graduate,Post Graduate
,,Male,Female,Total,Male,Female,Total,Male,Female,Total
1,Andaman and Nicobar Islands,7,12,19,,,,69,283,352
2,Andhra Pradesh,4283,2708,6991,70,48,118,89655,91447,181102
3,Arunachal Pradesh,470,258,728,56,74,130,4281,3678,7959
4,Assam,3648,2356,6004,126,180,306,13634,20125,33759
5,Bihar,2625,1183,3808,50,23,73,50051,48189,98240
6,Chandigarh,323,427,750,158,29,187,4244,8142,12386
7,Chhattisgarh,910,744,1654,36,22,58,25566,39663,65229
8,Delhi,8112,7332,15444,772,764,1536,20904,21417,42321
9,Goa,276,340,616,6,2,8,2169,3376,5545
10,Gujarat,4819,3202,8021,135,177,312,79326,91062,170388
11,Haryana,2046,2502,4548,104,142,246,31622,57938,89560
12,Himachal Pradesh,1100,1012,2112,136,134,270,8255,11665,19920
13,Jammu and Kashmir,2412,2033,4445,117,180,297,9240,11038,20278
14,Jharkhand,1738,919,2657,18,63,81,31936,48853,80789
15,Karnataka,5752,5276,11028,60,189,249,96240,125432,221672
16,Kerala,3184,5554,8738,207,745,952,25672,80026,105698
17,Ladakh,6,2,8,,,,70,23,93
18,Lakshadweep,,,,,,,,26,26
19,Madhya Pradesh,3676,2477,6153,91,58,149,148845,175910,324755
20,Maharashtra,9358,6393,15751,385,349,734,188587,206097,394684
21,Manipur,624,569,1193,,12,12,3099,4070,7169
22,Meghalaya,469,364,833,,,,3125,4882,8007
23,Mizoram,551,436,987,56,59,115,1127,1313,2440
24,Nagaland,279,314,593,23,30,53,2077,2865,4942
25,Odisha,1947,1324,3271,352,378,730,38709,36806,75515
26,Puducherry,271,325,596,,2,2,5386,7009,12395
27,Punjab,4628,4938,9566,142,169,311,30225,48376,78601
28,Rajasthan,6588,6379,12967,166,104,270,66114,105900,172014
29,Sikkim,115,80,195,34,30,64,1633,2312,3945
30,Tamil Nadu,17443,16968,34411,1696,5007,6703,106868,175312,282180
31,Telangana,4228,2487,6715,106,74,180,68545,87864,156409
32,"The Dadra and Nagar
Haveli and Daman and Diu",,,,,,,259,508,767
33,Tripura,452,220,672,2,10,12,2536,2425,4961
34,Uttar Pradesh,11560,8246,19806,234,381,615,250456,332791,583247
35,Uttarakhand,4099,2533,6632,4,1,5,31382,40142,71524
36,West Bengal,8757,5173,13930,1003,963,1966,54306,58050,112356
All India,,116756,95086,211842,6345,10399,16744,1496213,1955015,3451228
